sentence,model,query_mode,prompt_style,shot,correct,condition,,,
Federal law insures your money at the bank.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Federal law insures your money at the bank.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Federal law insures your money at the bank.,deepseek,api,cot,few,TRUE,api_cot_few,,,
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,direct,few,TRUE,api_direct_few,,,
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,direct,zero,FALSE,api_direct_zero,incorrect,sentence 1,sentence 1_incorrect_api_direct_zero
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,cot,few,TRUE,api_cot_few,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,direct,few,TRUE,api_direct_few,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,cot,few,TRUE,api_cot_few,,,
The startup refined its pitch to better explain the value of the product.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The startup refined its pitch to better explain the value of the product.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The startup refined its pitch to better explain the value of the product.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The startup refined its pitch to better explain the value of the product.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,cot,few,TRUE,api_cot_few,,,
Investors listened carefully as the founder began his pitch.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
Investors listened carefully as the founder began his pitch.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Investors listened carefully as the founder began his pitch.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Investors listened carefully as the founder began his pitch.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,cot,few,TRUE,api_cot_few,,,
She slipped the ring onto her finger before leaving the house.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
She slipped the ring onto her finger before leaving the house.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
She slipped the ring onto her finger before leaving the house.,deepseek,api,direct,few,TRUE,api_direct_few,,,
She slipped the ring onto her finger before leaving the house.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The antique ring was displayed under glass at the museum.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The antique ring was displayed under glass at the museum.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The antique ring was displayed under glass at the museum.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The antique ring was displayed under glass at the museum.,deepseek,api,cot,few,TRUE,api_cot_few,,,
He noticed the ring only after the light caught the stone.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
He noticed the ring only after the light caught the stone.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
He noticed the ring only after the light caught the stone.,deepseek,api,direct,few,TRUE,api_direct_few,,,
He noticed the ring only after the light caught the stone.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The ring had been passed down through several generations.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The ring had been passed down through several generations.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The ring had been passed down through several generations.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The ring had been passed down through several generations.,deepseek,api,cot,few,TRUE,api_cot_few,,,
A sudden ring echoed through the quiet hallway.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
A sudden ring echoed through the quiet hallway.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
A sudden ring echoed through the quiet hallway.,deepseek,api,direct,few,TRUE,api_direct_few,,,
A sudden ring echoed through the quiet hallway.,deepseek,api,cot,few,TRUE,api_cot_few,,,
She paused when she heard a ring coming from the phone.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
She paused when she heard a ring coming from the phone.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
She paused when she heard a ring coming from the phone.,deepseek,api,direct,few,TRUE,api_direct_few,,,
She paused when she heard a ring coming from the phone.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The sharp ring cut through the noise of the crowd.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The sharp ring cut through the noise of the crowd.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The sharp ring cut through the noise of the crowd.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The sharp ring cut through the noise of the crowd.,deepseek,api,cot,few,TRUE,api_cot_few,,,
Everyone turned at the ring that signaled the end of class.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
Everyone turned at the ring that signaled the end of class.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Everyone turned at the ring that signaled the end of class.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Everyone turned at the ring that signaled the end of class.,deepseek,api,cot,few,TRUE,api_cot_few,,,
A ring of stones surrounded the fire pit.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
A ring of stones surrounded the fire pit.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
A ring of stones surrounded the fire pit.,deepseek,api,direct,few,TRUE,api_direct_few,,,
A ring of stones surrounded the fire pit.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The trees formed a ring around the clearing.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The trees formed a ring around the clearing.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The trees formed a ring around the clearing.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The trees formed a ring around the clearing.,deepseek,api,cot,few,TRUE,api_cot_few,,,
A dark ring appeared around the stain after it dried.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
A dark ring appeared around the stain after it dried.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
A dark ring appeared around the stain after it dried.,deepseek,api,direct,few,TRUE,api_direct_few,,,
A dark ring appeared around the stain after it dried.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The planet was encircled by a faint ring of dust.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The planet was encircled by a faint ring of dust.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The planet was encircled by a faint ring of dust.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The planet was encircled by a faint ring of dust.,deepseek,api,cot,few,TRUE,api_cot_few,,,
He straightened his tie before walking into the interview.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
He straightened his tie before walking into the interview.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
He straightened his tie before walking into the interview.,deepseek,api,direct,few,TRUE,api_direct_few,,,
He straightened his tie before walking into the interview.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The silk tie matched the jacket better than the previous one.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The silk tie matched the jacket better than the previous one.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The silk tie matched the jacket better than the previous one.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The silk tie matched the jacket better than the previous one.,deepseek,api,cot,few,TRUE,api_cot_few,,,
She bought a new tie as a gift for her father.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
She bought a new tie as a gift for her father.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
She bought a new tie as a gift for her father.,deepseek,api,direct,few,TRUE,api_direct_few,,,
She bought a new tie as a gift for her father.,deepseek,api,cot,few,TRUE,api_cot_few,,,
His tie was loosened after the long ceremony ended.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
His tie was loosened after the long ceremony ended.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
His tie was loosened after the long ceremony ended.,deepseek,api,direct,few,TRUE,api_direct_few,,,
His tie was loosened after the long ceremony ended.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The game ended in a tie after overtime.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The game ended in a tie after overtime.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The game ended in a tie after overtime.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The game ended in a tie after overtime.,deepseek,api,cot,few,TRUE,api_cot_few,,,
Both candidates finished the election in a tie.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
Both candidates finished the election in a tie.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Both candidates finished the election in a tie.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Both candidates finished the election in a tie.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The final score resulted in a tie between the teams.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The final score resulted in a tie between the teams.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The final score resulted in a tie between the teams.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The final score resulted in a tie between the teams.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"After hours of debate, the vote produced a tie.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"After hours of debate, the vote produced a tie.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"After hours of debate, the vote produced a tie.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"After hours of debate, the vote produced a tie.",deepseek,api,cot,few,TRUE,api_cot_few,,,
She used a rope to tie the boxes together.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
She used a rope to tie the boxes together.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
She used a rope to tie the boxes together.,deepseek,api,direct,few,TRUE,api_direct_few,,,
She used a rope to tie the boxes together.,deepseek,api,cot,few,TRUE,api_cot_few,,,
He learned how to tie the knot securely.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
He learned how to tie the knot securely.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
He learned how to tie the knot securely.,deepseek,api,direct,few,TRUE,api_direct_few,,,
He learned how to tie the knot securely.,deepseek,api,cot,few,TRUE,api_cot_few,,,
They worked together to tie the fence posts in place.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
They worked together to tie the fence posts in place.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
They worked together to tie the fence posts in place.,deepseek,api,direct,few,TRUE,api_direct_few,,,
They worked together to tie the fence posts in place.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The instructions explained how to tie the cables safely.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The instructions explained how to tie the cables safely.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The instructions explained how to tie the cables safely.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The instructions explained how to tie the cables safely.,deepseek,api,cot,few,TRUE,api_cot_few,,,
He used a file to smooth the sharp edge of the metal.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
He used a file to smooth the sharp edge of the metal.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
He used a file to smooth the sharp edge of the metal.,deepseek,api,direct,few,TRUE,api_direct_few,,,
He used a file to smooth the sharp edge of the metal.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The mechanic reached for a file to remove the burrs.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The mechanic reached for a file to remove the burrs.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The mechanic reached for a file to remove the burrs.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The mechanic reached for a file to remove the burrs.,deepseek,api,cot,few,TRUE,api_cot_few,,,
She ran the file across the surface until it was smooth.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
She ran the file across the surface until it was smooth.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
She ran the file across the surface until it was smooth.,deepseek,api,direct,few,TRUE,api_direct_few,,,
She ran the file across the surface until it was smooth.,deepseek,api,cot,few,TRUE,api_cot_few,,,
She decided to file a complaint with the city office.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
She decided to file a complaint with the city office.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
She decided to file a complaint with the city office.,deepseek,api,direct,few,TRUE,api_direct_few,,,
She decided to file a complaint with the city office.,deepseek,api,cot,few,TRUE,api_cot_few,,,
They will file the paperwork before the deadline.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
They will file the paperwork before the deadline.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
They will file the paperwork before the deadline.,deepseek,api,direct,few,TRUE,api_direct_few,,,
They will file the paperwork before the deadline.,deepseek,api,cot,few,TRUE,api_cot_few,,,
He plans to file his tax return tomorrow.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
He plans to file his tax return tomorrow.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
He plans to file his tax return tomorrow.,deepseek,api,direct,few,TRUE,api_direct_few,,,
He plans to file his tax return tomorrow.,deepseek,api,cot,few,TRUE,api_cot_few,,,
She opened the file on her computer to review the report.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
She opened the file on her computer to review the report.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
She opened the file on her computer to review the report.,deepseek,api,direct,few,TRUE,api_direct_few,,,
She opened the file on her computer to review the report.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The lawyer pulled the case file from the cabinet.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The lawyer pulled the case file from the cabinet.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The lawyer pulled the case file from the cabinet.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The lawyer pulled the case file from the cabinet.,deepseek,api,cot,few,TRUE,api_cot_few,,,
Each employee has a file stored in the archive room.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
Each employee has a file stored in the archive room.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Each employee has a file stored in the archive room.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Each employee has a file stored in the archive room.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The fisherman sat quietly on the bank watching the water.,claude,api,direct,zero,TRUE,api_direct_zero,,,
The fisherman sat quietly on the bank watching the water.,claude,api,cot,zero,TRUE,api_cot_zero,,,
The fisherman sat quietly on the bank watching the water.,claude,api,direct,few,TRUE,api_direct_few,,,
The fisherman sat quietly on the bank watching the water.,claude,api,cot,few,TRUE,api_cot_few,,,
Extreme flooding has caused the bank to erode over time.,claude,api,direct,zero,TRUE,api_direct_zero,,,
Extreme flooding has caused the bank to erode over time.,claude,api,cot,zero,TRUE,api_cot_zero,,,
Extreme flooding has caused the bank to erode over time.,claude,api,direct,few,TRUE,api_direct_few,,,
Extreme flooding has caused the bank to erode over time.,claude,api,cot,few,TRUE,api_cot_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,direct,zero,TRUE,api_direct_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,cot,zero,TRUE,api_cot_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,direct,few,TRUE,api_direct_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,cot,few,TRUE,api_cot_few,,,
I went to the bank to apply for a loan.,claude,api,direct,zero,TRUE,api_direct_zero,,,
I went to the bank to apply for a loan.,claude,api,cot,zero,TRUE,api_cot_zero,,,
I went to the bank to apply for a loan.,claude,api,direct,few,TRUE,api_direct_few,,,
I went to the bank to apply for a loan.,claude,api,cot,few,TRUE,api_cot_few,,,
The bank teller handed me my change.,claude,api,direct,zero,TRUE,api_direct_zero,,,
The bank teller handed me my change.,claude,api,cot,zero,TRUE,api_cot_zero,,,
The bank teller handed me my change.,claude,api,direct,few,TRUE,api_direct_few,,,
The bank teller handed me my change.,claude,api,cot,few,TRUE,api_cot_few,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,zero,TRUE,api_direct_zero,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,zero,TRUE,api_cot_zero,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,few,TRUE,api_direct_few,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,few,TRUE,api_cot_few,,,
Federal law insures your money at the bank.,claude,api,direct,zero,TRUE,api_direct_zero,,,
Federal law insures your money at the bank.,claude,api,cot,zero,TRUE,api_cot_zero,,,
Federal law insures your money at the bank.,claude,api,direct,few,TRUE,api_direct_few,,,
Federal law insures your money at the bank.,claude,api,cot,few,TRUE,api_cot_few,,,
The fisherman sat quietly on the bank watching the water.,claude,api,direct,zero,TRUE,api_direct_zero,,,
The fisherman sat quietly on the bank watching the water.,claude,api,cot,zero,TRUE,api_cot_zero,,,
The fisherman sat quietly on the bank watching the water.,claude,api,direct,few,TRUE,api_direct_few,,,
The fisherman sat quietly on the bank watching the water.,claude,api,cot,few,TRUE,api_cot_few,,,
Extreme flooding has caused the bank to erode over time.,claude,api,direct,zero,TRUE,api_direct_zero,,,
Extreme flooding has caused the bank to erode over time.,claude,api,cot,zero,TRUE,api_cot_zero,,,
Extreme flooding has caused the bank to erode over time.,claude,api,direct,few,TRUE,api_direct_few,,,
Extreme flooding has caused the bank to erode over time.,claude,api,cot,few,TRUE,api_cot_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,direct,zero,TRUE,api_direct_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,cot,zero,TRUE,api_cot_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,direct,few,TRUE,api_direct_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,cot,few,TRUE,api_cot_few,,,
I went to the bank to apply for a loan.,claude,api,direct,zero,TRUE,api_direct_zero,,,
I went to the bank to apply for a loan.,claude,api,cot,zero,TRUE,api_cot_zero,,,
I went to the bank to apply for a loan.,claude,api,direct,few,TRUE,api_direct_few,,,
I went to the bank to apply for a loan.,claude,api,cot,few,TRUE,api_cot_few,,,
The bank teller handed me my change.,claude,api,direct,zero,TRUE,api_direct_zero,,,
The bank teller handed me my change.,claude,api,cot,zero,TRUE,api_cot_zero,,,
The bank teller handed me my change.,claude,api,direct,few,TRUE,api_direct_few,,,
The bank teller handed me my change.,claude,api,cot,few,TRUE,api_cot_few,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,zero,TRUE,api_direct_zero,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,zero,TRUE,api_cot_zero,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,few,TRUE,api_direct_few,,,
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,few,TRUE,api_cot_few,,,
Federal law insures your money at the bank.,claude,api,direct,zero,TRUE,api_direct_zero,,,
Federal law insures your money at the bank.,claude,api,cot,zero,TRUE,api_cot_zero,,,
Federal law insures your money at the bank.,claude,api,direct,few,TRUE,api_direct_few,,,
Federal law insures your money at the bank.,claude,api,cot,few,TRUE,api_cot_few,,,
He adjusted his grip before releasing the pitch toward home plate.,claude,api,direct,zero,TRUE,api_direct_zero,,,
He adjusted his grip before releasing the pitch toward home plate.,claude,api,cot,zero,TRUE,api_cot_zero,,,
He adjusted his grip before releasing the pitch toward home plate.,claude,api,direct,few,TRUE,api_direct_few,,,
He adjusted his grip before releasing the pitch toward home plate.,claude,api,cot,few,TRUE,api_cot_few,,,
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,direct,zero,TRUE,api_direct_zero,,,
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,cot,zero,TRUE,api_cot_zero,,,
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,direct,few,TRUE,api_direct_few,,,
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,cot,few,TRUE,api_cot_few,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,direct,zero,TRUE,api_direct_zero,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,cot,zero,TRUE,api_cot_zero,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,direct,few,TRUE,api_direct_few,,,
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,cot,few,TRUE,api_cot_few,,,
"His pitch veered slightly to the left, missing the target by inches.",claude,api,direct,zero,TRUE,api_direct_zero,,,
"His pitch veered slightly to the left, missing the target by inches.",claude,api,cot,zero,TRUE,api_cot_zero,,,
"His pitch veered slightly to the left, missing the target by inches.",claude,api,direct,few,TRUE,api_direct_few,,,
"His pitch veered slightly to the left, missing the target by inches.",claude,api,cot,few,TRUE,api_cot_few,,,
The startup refined its pitch to better explain the value of the product.,claude,api,direct,zero,TRUE,api_direct_zero,,,
The startup refined its pitch to better explain the value of the product.,claude,api,cot,zero,TRUE,api_cot_zero,,,
The startup refined its pitch to better explain the value of the product.,claude,api,direct,few,TRUE,api_direct_few,,,
The startup refined its pitch to better explain the value of the product.,claude,api,cot,few,TRUE,api_cot_few,,,
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",claude,api,direct,zero,TRUE,api_direct_zero,,,
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",claude,api,cot,zero,TRUE,api_cot_zero,,,
